doc_id,majortopic,sim,nbPrediction
5200,20,3,18.0
3771,12,3,14.0
17459,19,3,17.0
6423,19,3,17.0
3054,20,3,18.0
10315,19,3,17.0
19069,12,3,4.0
16465,10,3,9.0
8789,16,3,14.0
21919,20,3,18.0
14148,100,3,20.0
26209,6,3,5.0
10748,16,3,14.0
9661,19,3,17.0
16475,2,3,2.0
14145,13,3,0.0
21832,6,3,5.0
6474,19,3,8.0
14609,19,3,17.0
5540,3,3,2.0
5077,19,3,17.0
30571,16,3,14.0
818,1,3,17.0
13921,16,3,10.0
16869,16,3,14.0
8721,100,3,20.0
20274,16,3,14.0
10368,19,3,17.0
17181,19,3,14.0
25970,16,3,14.0
29313,19,3,17.0
8239,1,3,2.0
11712,1,3,0.0
13159,17,3,15.0
18740,19,3,17.0
7327,2,3,1.0
20175,6,3,0.0
16149,10,3,13.0
2693,16,3,14.0
21598,15,3,6.0
15330,19,3,14.0
556,10,3,18.0
14491,4,3,3.0
19685,14,3,20.0
8030,20,3,18.0
25821,17,3,15.0
16331,19,3,17.0
14556,17,3,15.0
7982,19,3,10.0
30595,14,3,13.0
17015,16,3,2.0
854,12,3,1.0
5744,10,3,9.0
5671,100,3,20.0
1773,17,3,15.0
20956,17,3,15.0
174,20,3,18.0
8346,19,3,14.0
6006,15,3,13.0
8959,1,3,0.0
30909,15,3,2.0
26989,10,3,15.0
3061,10,3,20.0
11200,20,3,18.0
21157,12,3,10.0
18360,12,3,20.0
24774,16,3,14.0
12075,19,3,17.0
3857,20,3,18.0
20037,19,3,14.0
5332,19,3,17.0
2166,19,3,17.0
22082,16,3,17.0
29403,20,3,20.0
26976,13,3,11.0
5647,10,3,20.0
25105,16,3,18.0
5219,1,3,17.0
14816,20,3,18.0
10192,100,3,20.0
10302,19,3,17.0
22777,100,3,1.0
13597,20,3,18.0
29260,9,3,20.0
30178,19,3,17.0
3756,100,3,17.0
6207,3,3,2.0
20417,12,3,10.0
13888,8,3,7.0
25892,14,3,20.0
2838,100,3,11.0
3842,19,3,15.0
17582,14,3,20.0
16130,14,3,20.0
15542,18,3,16.0
21590,10,3,9.0
5809,21,3,19.0
29371,5,3,20.0
26695,100,3,18.0
20817,19,3,17.0
13988,19,3,17.0
2995,12,3,10.0
28888,12,3,10.0
30963,19,3,10.0
12788,15,3,15.0
7152,100,3,20.0
25603,16,3,14.0
17190,100,3,20.0
27128,100,3,20.0
5898,19,3,17.0
14715,3,3,15.0
2081,16,3,14.0
25542,2,3,2.0
26823,19,3,14.0
20582,15,3,13.0
25901,100,3,20.0
26633,16,3,14.0
27446,100,3,20.0
5568,6,3,5.0
1994,15,3,5.0
2858,19,3,17.0
4896,19,3,17.0
1822,13,3,11.0
4758,12,3,10.0
18200,16,3,14.0
12456,20,3,20.0
7511,12,3,10.0
14016,2,3,2.0
6969,19,3,17.0
30120,5,3,9.0
7232,18,3,9.0
1022,19,3,17.0
15307,19,3,15.0
28385,19,3,17.0
5246,18,3,2.0
18503,12,3,10.0
14130,15,3,13.0
21625,19,3,14.0
27460,16,3,14.0
6138,5,3,0.0
19540,20,3,18.0
6327,6,3,5.0
26393,19,3,17.0
12376,19,3,17.0
30667,19,3,17.0
18283,12,3,10.0
5883,8,3,6.0
1024,18,3,13.0
3841,15,3,15.0
11094,7,3,6.0
30182,19,3,2.0
17242,13,3,11.0
22505,16,3,14.0
29364,100,3,20.0
30152,100,3,4.0
19025,12,3,10.0
8048,19,3,17.0
25737,100,3,20.0
2020,100,3,20.0
6862,12,3,10.0
26747,14,3,0.0
22692,100,3,18.0
8814,8,3,7.0
29899,17,3,15.0
11500,19,3,17.0
819,19,3,17.0
25083,19,3,4.0
28570,5,3,4.0
25948,19,3,17.0
24787,6,3,5.0
29031,16,3,14.0
23825,14,3,5.0
23985,2,3,2.0
13031,100,3,20.0
7430,3,3,2.0
12644,21,3,19.0
10562,3,3,17.0
29461,15,3,20.0
28225,20,3,18.0
6315,5,3,18.0
4266,19,3,17.0
8082,20,3,18.0
30484,100,3,9.0
25600,16,3,14.0
21828,100,3,20.0
30005,9,3,8.0
20691,100,3,20.0
16238,100,3,20.0
4899,19,3,17.0
2065,16,3,14.0
27309,15,3,13.0
14476,20,3,18.0
14773,19,3,17.0
13074,5,3,0.0
28934,19,3,17.0
14302,19,3,17.0
14586,100,3,18.0
27744,16,3,14.0
14260,20,3,18.0
10689,19,3,17.0
24726,16,3,14.0
11181,5,3,2.0
12896,100,3,20.0
24789,12,3,10.0
21826,3,3,2.0
28339,1,3,0.0
444,10,3,20.0
8179,12,3,20.0
17520,19,3,14.0
28102,19,3,20.0
27177,20,3,17.0
3763,20,3,18.0
21681,6,3,5.0
21799,19,3,17.0
9062,100,3,20.0
26433,13,3,18.0
10211,16,3,14.0
22670,19,3,17.0
30462,16,3,17.0
15784,16,3,14.0
28811,6,3,5.0
14515,7,3,20.0
25560,19,3,14.0
10044,20,3,18.0
15928,100,3,20.0
29004,4,3,20.0
20084,12,3,10.0
30759,19,3,14.0
25679,16,3,14.0
7374,3,3,1.0
7334,100,3,20.0
28700,2,3,10.0
29796,19,3,17.0
20259,19,3,14.0
9014,16,3,14.0
6946,16,3,14.0
23393,16,3,14.0
28976,100,3,17.0
21918,14,3,12.0
23500,21,3,19.0
8146,16,3,17.0
26646,16,3,16.0
2515,100,3,17.0
17881,6,3,5.0
6113,19,3,17.0
244,12,3,10.0
23336,16,3,6.0
2706,1,3,0.0
12521,9,3,8.0
15611,13,3,11.0
998,20,3,1.0
26246,17,3,17.0
28429,15,3,20.0
25544,20,3,18.0
16771,16,3,0.0
20402,12,3,10.0
23039,20,3,17.0
25678,16,3,14.0
8835,19,3,17.0
8953,13,3,11.0
5577,3,3,2.0
7142,100,3,20.0
24378,16,3,14.0
737,19,3,17.0
6426,3,3,2.0
18090,16,3,14.0
29097,12,3,1.0
13235,2,3,1.0
30794,16,3,18.0
25860,19,3,17.0
17478,16,3,14.0
18140,12,3,10.0
20593,19,3,20.0
14770,14,3,12.0
11142,3,3,1.0
4180,19,3,17.0
127,19,3,17.0
14315,2,3,1.0
7800,1,3,17.0
4568,19,3,17.0
21954,16,3,2.0
12162,20,3,18.0
28058,16,3,14.0
5136,20,3,18.0
28226,19,3,17.0
299,13,3,2.0
30588,20,3,18.0
26883,10,3,9.0
12481,19,3,17.0
24417,12,3,10.0
20628,16,3,14.0
16599,20,3,18.0
9720,6,3,5.0
22020,20,3,18.0
3645,19,3,18.0
12163,12,3,10.0
1127,20,3,18.0
1311,2,3,18.0
28394,10,3,9.0
9638,17,3,20.0
15592,12,3,10.0
15982,19,3,17.0
26124,16,3,17.0
28218,16,3,18.0
26347,16,3,14.0
12422,100,3,20.0
3264,12,3,10.0
750,100,3,20.0
19926,20,3,20.0
1331,20,3,18.0
9875,20,3,18.0
29541,12,3,20.0
14159,20,3,18.0
12660,3,3,18.0
2157,13,3,11.0
2348,20,3,18.0
19829,1,3,0.0
11447,10,3,20.0
20781,1,3,0.0
7121,100,3,18.0
98,100,3,20.0
2318,20,3,18.0
23288,3,3,18.0
205,20,3,18.0
21840,12,3,0.0
25788,20,3,18.0
1514,1,3,0.0
14487,6,3,5.0
8922,20,3,18.0
13562,19,3,17.0
29155,16,3,17.0
21819,19,3,17.0
22596,3,3,2.0
26959,20,3,18.0
10930,19,3,17.0
21447,16,3,17.0
30524,19,3,20.0
18801,19,3,17.0
21880,16,3,8.0
9545,19,3,17.0
1989,100,3,20.0
306,17,3,20.0
7868,1,3,0.0
30473,16,3,14.0
10692,17,3,15.0
15686,20,3,13.0
26195,19,3,17.0
24947,16,3,17.0
9004,100,3,19.0
9248,1,3,0.0
12804,19,3,14.0
27844,100,3,20.0
12687,15,3,13.0
2962,6,3,5.0
15084,19,3,17.0
4219,100,3,20.0
7936,20,3,18.0
22515,8,3,13.0
16004,12,3,10.0
11874,12,3,10.0
11606,3,3,20.0
29478,20,3,18.0
16412,100,3,20.0
16510,16,3,14.0
20960,1,3,10.0
32,100,3,7.0
10440,3,3,2.0
14235,19,3,17.0
19433,14,3,20.0
27488,19,3,14.0
24442,19,3,18.0
17515,19,3,17.0
19377,19,3,20.0
10822,19,3,17.0
17739,3,3,2.0
31007,19,3,14.0
16314,100,3,20.0
18459,19,3,17.0
12241,20,3,18.0
28431,5,3,9.0
29434,3,3,2.0
12004,2,3,1.0
29318,7,3,20.0
15952,9,3,17.0
11147,19,3,17.0
426,12,3,10.0
20632,20,3,18.0
8946,3,3,2.0
25943,19,3,17.0
19018,19,3,17.0
28625,100,3,20.0
3583,19,3,17.0
17818,21,3,20.0
17669,9,3,11.0
12324,20,3,18.0
1108,10,3,9.0
11533,20,3,18.0
378,7,3,6.0
10971,12,3,10.0
27119,20,3,18.0
30231,15,3,13.0
11852,15,3,13.0
3723,1,3,0.0
14083,20,3,18.0
5850,100,3,20.0
26190,100,3,20.0
11574,20,3,18.0
11854,20,3,18.0
18842,15,3,13.0
6654,3,3,2.0
12773,10,3,9.0
20995,12,3,10.0
4942,19,3,17.0
10507,4,3,17.0
19184,3,3,2.0
16120,20,3,2.0
6520,21,3,20.0
2189,19,3,17.0
18435,8,3,17.0
13252,19,3,17.0
28123,20,3,18.0
10397,20,3,18.0
15984,20,3,18.0
24309,16,3,18.0
1911,13,3,11.0
2273,15,3,13.0
19054,19,3,17.0
16122,15,3,13.0
13222,2,3,1.0
16408,17,3,15.0
3372,3,3,2.0
7881,14,3,17.0
10157,16,3,14.0
30216,10,3,9.0
27346,16,3,17.0
27955,16,3,17.0
30824,15,3,4.0
701,10,3,9.0
23807,100,3,20.0
6839,19,3,17.0
25269,16,3,14.0
1632,10,3,9.0
14924,7,3,20.0
28018,100,3,20.0
1263,12,3,20.0
5524,19,3,17.0
